Date,Capture Site,Capture UTM-Y,Capture UTM-X,Length (mm),Weight (g),Dorsal Gap (mm),Girth (mm),Genetic,PIT Tagged (Y/N),Status,,PIT Tag #,Radio Tag #,Surgery Time (MM:SS),Injuries,Recovery Tank Temp,Release Site,Release UTM-X,Release UTM-Y,Release Time,Release Temp,Tank Water Temp,Tagger,Genetic,,Lamprey ID,,,
8/11/2023,Shears,5013394.42,653819.54,555,293,13,23,4150,Y,Alive,,3D6.1D5957763F,440310,8:25,,,WS,618811.36,4984291.2,,,,,4150,CI-50,LI-50,M-50,,
8/11/2023,Shears,5013394.42,653819.54,530,284,13,23,4151,Y,Alive,,3D6.1D5957760A,440311,6:07,,,WS,618811.36,4984291.2,,,,,4151,CI-51,LI-51,M-51,,
8/15/2023,Shears,5013394.42,653819.54,630,387,16,31,4152,Y,Alive,,3D6.1D59577638,440257,7:02,,,WS Hatch,640815.77,4969658.49,,,,,4152,CI-52,LI-52,M-52,,
8/15/2023,Shears,5013394.42,653819.54,600,419,14.5,32,4153,Y,Alive,,3D6.1D5957765C,440258,8:46,,,WS Hatch,640815.77,4969658.49,,,,,4153,CI-53,LI-53,M-53,,
8/15/2023,Shears,5013394.42,653819.54,580,433,14,35,4154,Y,Alive,,3D6.1D59577611,440259,9:40,,,WS Hatch,640815.77,4969658.49,,,,,4154,CI-54,LI-54,M-54,,
8/15/2023,Shears,5013394.42,653819.54,600,444,14,35,4155,Y,Dead,,3D6.1D59577474,440260,5:48,Mort,,WS Hatch,640815.77,4969658.49,,,,,4155,CI-55,LI-55,M-55,,
8/15/2023,Shears,5013394.42,653819.54,610,367,15,31,4156,Y,Alive,,3D6.1D59577424,440254,6:28,,,WS Hatch,640815.77,4969658.49,,,,,4156,CI-56,LI-56,M-56,,
8/15/2023,Shears,5013394.42,653819.54,525,269,13,29,4157,Y,Alive,,3D6.1D59577662,440255,6:52,,,WS Hatch,640815.77,4969658.49,,,,,4157,CI-57,LI-57,M-57,,
8/15/2023,Shears,5013394.42,653819.54,510,230,12,25,4158,Y,Alive,466,3D6.1D59577466,440256,6:42,,,WS Hatch,640815.77,4969658.49,,,,,4158,CI-58,LI-58,M-58,,
8/15/2023,Shears,5013394.42,653819.54,570,313,12,29,4159,Y,Alive,627,3D6.1D59577627,440352,9:25,,,WS Hatch,640815.77,4969658.49,,,,,4159,CI-59,LI-59,M-59,,
8/15/2023,Shears,5013394.42,653819.54,580,229,14,28,4160,Y,Alive,435,3D6.1D59577435,440351,11:45,chunk missing by gills,,WS Hatch,640815.77,4969658.49,,,,,4160,CI-60,LI-60,M-60,,
8/15/2023,Shears,5013394.42,653819.54,580,337,14.5,31,4161,Y,Alive,438,3D6.1D59577438,440312,8:10,,,WS Hatch,640815.77,4969658.49,,,,,4161,CI-61,LI-61,M-61,,
8/15/2023,Shears,5013394.42,653819.54,630,386,15.5,32,4162,Y,Dead,442,3D6.1D59577442,440344,8:20,Mort,,WS Hatch,640815.77,4969658.49,,,,,4162,CI-62,LI-62,M-62,,
8/15/2023,Shears,5013394.42,653819.54,630,442,16,36,4163,Y,Dead,476,3D6.1D59577476,440343,,Mort,,WS Hatch,640815.77,4969658.49,,,,,4163,CI-63,LI-63,M-63,,
8/15/2023,Shears,5013394.42,653819.54,590,330,13.5,30,4164,Y,Alive,46e,3D6.1D5957746E,440316,7:00,,,WS Hatch,640815.77,4969658.49,,,,,4164,CI-64,LI-64,M-64,,
8/15/2023,Shears,5013394.42,653819.54,510,218,11.5,25,4165,Y,Dead,41F,3D6.1D5957741F,440315,6:32,Mort,,WS Hatch,640815.77,4969658.49,,,,,4165,CI-65,LI-65,M-65,,
8/15/2023,Shears,5013394.42,653819.54,525,241,13,27,4166,Y,Alive,469,3D6.1D59577469,440314,2:26,,,WS Hatch,640815.77,4969658.49,,,,,4166,CI-66,LI-66,M-66,,
8/15/2023,Shears,5013394.42,653819.54,650,423,17,39,4167,Y,Dead,634,3D6.1D59577634,440313,5:56,Mort,,WS Hatch,640815.77,4969658.49,,,,,4167,CI-67,LI-67,M-67,,
8/15/2023,Shears,5013394.42,653819.54,580,288,15,27,4168,Y,Alive,425,3D6.1D59577425,440320,6:23,,,WS Hatch,640815.77,4969658.49,,,,,4168,CI-68,LI-68,M-68,,
8/15/2023,Shears,5013394.42,653819.54,635,394,16,29,4169,Y,Dead,620,3D6.1D59577620,440319,7:29,chunk missing on back; Mort,,WS Hatch,640815.77,4969658.49,,,,,4169,CI-69,LI-69,M-69,,
8/15/2023,Shears,5013394.42,653819.54,540,265,14,28,4170,Y,Alive,444,3D6.1D59577444,440318,7:09,chunk missing on back,,WS Hatch,640815.77,4969658.49,,,,,4170,CI-70,LI-70,M-70,,
8/15/2023,Shears,5013394.42,653819.54,540,217,14,26,4171,Y,Alive,423,3D6.1D59577423,440317,6:24,,,WS Hatch,640815.77,4969658.49,,,,,4171,CI-71,LI-71,M-71,,
8/15/2023,Shears,5013394.42,653819.54,655,533,17,38,4172,Y,Alive,613,3D6.1D59577613,440323,7:40,claw marks on tail,,WS Hatch,640815.77,4969658.49,,,,,4172,CI-72,LI-72,M-72,,
8/15/2023,Shears,5013394.42,653819.54,600,329,15,31,4173,Y,Alive,45b,3D6.1D5957745B,440322,5:43,open wound on tail,,WS Hatch,640815.77,4969658.49,,,,,4173,CI-73,LI-73,M-73,,
8/15/2023,Shears,5013394.42,653819.54,620,449,14,35,4174,Y,Alive,65a,3D6.1D5957765A,440321,5:50,,,WS Hatch,640815.77,4969658.49,,,,,4174,CI-74,LI-74,M-74,,
8/15/2023,Shears,5013394.42,653819.54,600,394,15,32,4175,Y,Alive,44c,3D6.1D5957744C,440324,6:41,,,WS Hatch,640815.77,4969658.49,,,,,4175,CI-75,LI-75,M-75,,
8/15/2023,Shears,5013394.42,653819.54,555,348,14,30,4176,Y,Dead,614,3D6.1D59577614,440328,5:22,,,WS Hatch,640815.77,4969658.49,,,,,4176,CI-76,LI-76,M-76,,
8/15/2023,Shears,5013394.42,653819.54,560,308,14,30,4177,Y,Alive,436,3D6.1D59577436,440327,5:50,,,WS Hatch,640815.77,4969658.49,,,,,4177,CI-77,LI-77,M-77,,
8/15/2023,Shears,5013394.42,653819.54,630,362,16,30,4178,Y,Alive,46a,3D6.1D5957746A,440326,5:50,open wound on head,,WS Hatch,640815.77,4969658.49,,,,,4178,CI-78,LI-78,M-78,,
8/15/2023,Shears,5013394.42,653819.54,570,336,14,29,4179,Y,Alive,41e,3D6.1D5957741E,440325,6:16,,,WS Hatch,640815.77,4969658.49,,,,,4179,CI-79,LI-79,M-79,,
8/15/2023,Shears,5013394.42,653819.54,530,281,12,26,4180,Y,Alive,66a,3D6.1D5957766A,440332,5:58,,,WS Hatch,640815.77,4969658.49,,,,,4180,CI-80,LI-80,M-80,,
8/15/2023,Shears,5013394.42,653819.54,620,458,15,35,4181,Y,Alive,649,3D6.1D59577649,440331,6:43,,,WS Hatch,640815.77,4969658.49,,,,,4181,CI-81,LI-81,M-81,,
8/15/2023,Shears,5013394.42,653819.54,550,269,13,25,4182,Y,Alive,60e,3D6.1D5957760E,440330,7:00,,,WS Hatch,640815.77,4969658.49,,,,,4182,CI-82,LI-82,M-82,,
8/15/2023,Shears,5013394.42,653819.54,585,323,14,30,4183,Y,Alive,632,3D6.1D59577632,440329,5:13,,,WS Hatch,640815.77,4969658.49,,,,,4183,CI-83,LI-83,M-83,,
8/15/2023,Shears,5013394.42,653819.54,625,414,15.5,35,4184,Y,Alive,647,3D6.1D59577647,440333,6:31,,,WS Hatch,640815.77,4969658.49,,,,,4184,CI-84,LI-84,M-84,,
